user_lot_id,user_id,lot_id,quantity
519,1,3,149.73
524,4,2,1000
533,5,4,1000
537,4,3,327.15
538,5,5,808.51
545,5,6,1162.69
549,5,1,992.15
551,5,2,1007.85
553,4,4,659.13
554,4,1,471.60
557,5,3,252.59
596,4,7,1868.44
659,1,5,418.41
696,5,7,2133.20
715,7,5,8.54
745,2,4,34.49
749,6,1,101.47
754,4,5,1286.14
759,1,4,1200.39
775,7,4,15.67
778,3,1,44.09
785,3,3,197.19
786,7,2,390.40
794,1,2,1695.33
795,2,3,130.83
796,7,3,1934.65
797,2,2,190.68
799,2,1,41.98
801,3,7,175.54
807,1,6,775.90
813,6,6,24.29
816,3,5,91.90
820,2,6,174.77
821,4,6,1097.55
823,7,6,800.47
824,2,5,623.23
827,6,5,451.45
828,1,1,2382.28
829,7,1,828.53
830,1,7,377.96
831,3,4,75.31
832,6,4,461.82
833,3,6,85.78
835,6,7,73.72
837,7,7,176.05
838,6,2,196.61
840,3,2,202.60
841,6,3,342.13
842,2,7,206.27
